Woord;Horen;Zien;Ruiken;Proeven;Voelen;Sensaties;Modality;ModalityExclusivity;MaxPercStrength;AvModalityStrength;Minkowski3;Concreteness;ConcretenessCategory;Imageability;ImageabilityCategory;SourceImageability;Frequency;Prevalence;Length;Nsyl;N_phonemes;PoS;OLD20;DLP_RT;DLP_Acc;DCP_RT;DCP_Acc
aai;0,20;3,10;0,00;0,00;4,40;0,80;Voelen;0,517647059;4,4;1,42;4,869911412;4,071428571;high;5,77;high;van Loon;31;1,714173627;3;1;2;N;1;537,85;0,95;1024,92;0,97
aaien;0,00;2,70;0,00;0,00;4,90;0,90;Voelen;0,576470588;4,9;1,42;5,168410557;4,133333333;high;6,23;high;van Loon;92;2,586580787;5;2;3;WW;1,25;571,50;0,951219512;991,05;1
aal;0,00;3,40;0,90;0,30;1,40;0,40;Zien;0,53125;3,4;1,07;3,499809513;4,692307692;high;6,3;high;van Loon;35;1,830407616;3;1;2;N;1;613,63;0,8;1075,17;0,97
aalbes;0,00;4,00;1,92;4,17;2,92;0,25;Proeven;0,314465409;4,17;2,21;5,520109276;4,733333333;high;5,7;high;van Loon;0;1,562257126;6;2;5;N;2;593,23;0,825;1041,53;0,96
aalmoes;0,50;2,90;0,00;0,00;1,50;0,30;Zien;0,557692308;2,9;0,87;3,033549341;3,384615385;high;4,73;high;van Loon;42;2,192198734;7;2;5;N;2,55;634,01;0,925;953,61;0,98
aambeeld;0,69;2,85;0,08;0,00;1,23;0,23;Zien;0,560606061;2,85;0,85;2,934291743;3,785714286;high;4,423076923;high;de Deyne et al. 2008;22;1,982061741;8;2;6;N;2,8;585,51;0,85;1191,81;0,96
aambei;0,00;2,80;0,60;0,50;1,90;0,70;Zien;0,430769231;2,8;1,08;3,089698724;4,133333333;high;3,63;low;van Loon;9;2,231525727;6;2;4;N;2,2;596,47;0,925;1048,46;0,99
aambeien;0,33;2,17;0,08;0,42;1,50;1,50;Zien;0,347222222;2,17;1,00;2,572856166;4,428571429;high;#N/B;#N/B;#N/B;48;2,184575234;8;3;6;N;2,5;598,15;0,95;1066,57;0,98
aanbaksel;0,17;2,75;1,67;1,92;0,75;0,00;Zien;0,379310345;2,75;1,21;3,204099473;3,933333333;high;#N/B;#N/B;#N/B;0;1,639891177;9;3;8;N;2,65;662,72;0,780487805;1357,87;0,92
aanbelanden;0,30;0,80;0,00;0,30;0,10;0,50;Zien;0,4;0,8;0,33;0,884508542;2,666666667;low;#N/B;#N/B;#N/B;1;1,911302125;11;4;9;WW;1,95;695,28;0,804878049;1477,05;0,88
aanbelangen;1,33;1,22;0,00;0,00;0,00;1,78;Sensaties;0,41025641;1,78;0,72;2,141052763;2,066666667;low;#N/B;#N/B;#N/B;2;2,090590382;11;4;8;WW;2,35;686,72;0,926829268;1309,69;0,65
aanbellen;4,50;1,50;0,00;0,00;3,80;0,00;Horen;0,459183673;4,5;1,63;5,305867478;4,133333333;high;6,37;high;van Loon;39;2,716346121;9;3;6;WW;1,9;552,40;0,975609756;1030,28;1
aanbesteden;0,90;1,80;0,00;0,00;0,70;0,00;Zien;0,529411765;1,8;0,57;1,904146071;2;low;#N/B;#N/B;#N/B;0;2,12590728;11;4;9;WW;2,2;635,53;0,825;1162,02;0,99
aanbesteding;0,82;1,27;0,09;0,09;0,18;0,18;Zien;0,448275862;1,27;0,44;1,379083612;2,133333333;low;#N/B;#N/B;#N/B;2;2,187337362;12;4;10;N;3,25;719,91;0,780487805;1216,15;0,99
aanbetaling;0,50;1,75;0,00;0,00;0,75;0,13;Zien;0,56;1,75;0,52;1,807805927;2;low;#N/B;#N/B;#N/B;138;1,32987274;11;4;9;N;2,85;631,18;0,804878049;1180,31;0,95
aanbevelen;3,80;2,20;0,00;0,00;0,40;0,70;Horen;0,535211268;3,8;1,18;4,039749519;2;low;#N/B;#N/B;#N/B;180;2,807044946;10;4;8;WW;2,35;528,24;1;1094,13;0,99
aanbeveling;2,90;1,80;0,00;0,00;0,00;0,80;Horen;0,527272727;2,9;0,92;3,132335833;2,2;low;2,97;low;van Loon;145;2,858890526;11;4;9;N;2,75;576,88;0,975609756;1131,21;1
aanbiddelijk;0,64;1,64;0,27;0,18;0,45;1,73;Sensaties;0,314814815;1,73;0,82;2,148157606;1,666666667;low;#N/B;#N/B;#N/B;33;1,914842054;12;4;9;ADJ;3,55;535,77;0,95;1320,18;0,97
aanbidden;1,55;2,09;0,00;0,00;0,55;2,82;Sensaties;0,402597403;2,82;1,17;3,282774027;2,333333333;low;#N/B;#N/B;#N/B;195;2,707267625;9;3;6;WW;1,8;511,81;0,975609756;960,09;1
aanbidder;2,38;2,69;0,15;0,15;1,00;1,08;Zien;0,340206186;2,69;1,24;3,281356795;2,6;low;#N/B;#N/B;#N/B;71;3,1489912;9;3;7;N;2,5;557,32;1;1009,28;1
aanbidding;2,08;2,08;0,00;0,00;0,69;1,62;Joint;0,321428571;2,08;1,08;2,82165102;2,066666667;low;#N/B;#N/B;#N/B;41;1,749386172;10;3;7;N;2,65;617,92;0,95;1249,54;0,95
aanbieden;3,20;3,80;0,30;0,60;1,70;0,80;Zien;0,336538462;3,8;1,73;4,535650968;2,733333333;low;#N/B;#N/B;#N/B;1179;3,250565912;9;3;6;WW;1,75;517,10;0,975;1011,88;1
aanbieding;1,00;3,33;0,00;0,00;0,00;0,00;Zien;0,769230769;3,33;0,72;3,363067312;2,8;low;4,67;high;van Loon;181;2,827671932;10;3;7;N;2,65;552,48;0,975;1012,51;1
aanblijven;0,10;1,40;0,00;0,00;0,40;0,00;Zien;0,736842105;1,4;0,32;1,410968267;2,266666667;low;#N/B;#N/B;#N/B;28;1,864069694;10;3;7;WW;2,05;562,31;0,975609756;1108,58;0,98
aanblik;0,42;3,17;0,00;0,00;0,00;0,58;Zien;0,76;3,17;0,69;3,175643963;2,6;low;3,36;low;van Loon;96;2,077771907;7;2;6;N;1,9;537,00;0,975609756;1062,53;0,98
aanbod;1,82;2,55;0,00;0,27;0,55;0,27;Zien;0,466666667;2,55;0,91;2,83170744;2,133333333;low;3,4;low;van Loon;1174;2,967643098;6;2;5;N;1,8;515,34;1;926;1
aanboren;2,38;1,75;0,00;0,00;0,88;0,13;Horen;0,463414634;2,38;0,85;2,688277222;2,866666667;low;#N/B;#N/B;#N/B;14;1,343514716;8;3;6;WW;1,85;533,27;0,829268293;1322,16;0,92
aanbouw;0,17;3,33;0,17;0,00;1,17;0,25;Zien;0,655737705;3,33;0,85;3,381032919;3,5;high;#N/B;#N/B;#N/B;32;2,574557974;7;2;5;N;1,95;544,20;0,951219512;1053,62;0,99
aanbraden;1,80;4,30;3,90;2,90;1,70;0,40;Zien;0,26;4,3;2,50;5,583026839;3,533333333;high;#N/B;#N/B;#N/B;0;1,3367001;9;3;7;WW;1,7;544,73;0,853658537;1400,45;0,94
aanbranden;0,50;3,50;4,42;2,58;1,33;0,00;Ruiken;0,358108108;4,42;2,06;5,298684896;3,866666667;high;#N/B;#N/B;#N/B;37;2,69600694;10;3;8;WW;1,8;536,28;0,975609756;1071,69;1
aanbreken;1,10;2,50;0,00;0,00;0,30;0,40;Zien;0,581395349;2,5;0,72;2,573649023;1,866666667;low;#N/B;#N/B;#N/B;33;2,42931247;9;3;7;WW;1,7;538,71;0,87804878;1095,23;0,99
aanbrengen;0,50;2,33;0,33;0,00;2,67;0,42;Voelen;0,426666667;2,67;1,04;3,171526088;2,333333333;low;#N/B;#N/B;#N/B;88;2,614968501;10;3;7;WW;1,9;538,60;0,926829268;1012,43;1
aandacht;1,23;2,08;0,08;0,08;0,15;2,31;Sensaties;0,376623377;2,31;0,99;2,848698816;1,866666667;low;3,27;low;van Loon;2479;2,522729523;8;2;6;N;1,95;494,69;1;1000;0,99
aandachtig;1,60;3,50;0,00;0,00;0,20;2,20;Zien;0,466666667;3,5;1,25;3,862560875;2,133333333;low;4,85;high;de Deyne et al. 2019;102;3,184579112;10;3;8;ADJ;1,95;506,21;1;1016,95;0,99
aandachtspunt;1,46;2,08;0,00;0,00;0,00;0,38;Zien;0,529411765;2,08;0,65;2,298165856;2;low;#N/B;#N/B;#N/B;1;2,957347248;13;3;11;N;4,85;575,70;1;1124,19;1
aandeel;0,15;1,31;0,00;0,00;0,31;0,46;Zien;0,586206897;1,31;0,37;1,332760969;2,333333333;low;3,5;low;van Loon;435;2,863324754;7;2;5;N;1,85;540,57;0,95;972,03;1
aandeelhouder;0,64;1,09;0,00;0,00;0,09;0,00;Zien;0,6;1,09;0,30;1,158965652;2,733333333;low;#N/B;#N/B;#N/B;50;2,841139521;13;4;10;N;3,75;548,10;1;1043,28;1
aandelen;0,40;2,10;0,00;0,20;0,10;0,00;Zien;0,75;2,1;0,47;2,105503328;2,533333333;low;#N/B;#N/B;#N/B;671;3,165427885;8;3;6;N;1,75;580,76;0,951219512;986,81;1
aandenken;0,55;2,55;0,09;0,00;1,27;1,09;Zien;0,459016393;2,55;0,92;2,715131213;2,333333333;low;#N/B;#N/B;#N/B;185;2,558707254;9;3;7;N;1,95;524,70;1;1022,69;0,99
aandikken;0,80;1,90;0,00;0,00;0,80;0,50;Zien;0,475;1,9;0,67;2,000666445;3,333333333;high;#N/B;#N/B;#N/B;3;2,285989265;9;3;6;WW;1,65;621,54;0,825;1144,7;0,99
aandoen;0,50;2,83;0,00;0,00;2,58;0,67;Zien;0,430379747;2,83;1,10;3,431507261;3,6;high;4,27;high;van Loon;1520;2,891624428;7;2;5;WW;1,8;541,97;1;1055,01;1
aandoening;0,46;2,85;0,38;0,38;0,38;2,08;Zien;0,376470588;2,85;1,09;3,184152392;2,2;low;#N/B;#N/B;#N/B;124;2,54319962;10;3;7;N;2,6;566,17;1;1003;1
aandoenlijk;1,00;2,25;0,33;0,00;0,67;2,50;Sensaties;0,37037037;2,5;1,13;3,049151724;1,466666667;low;#N/B;#N/B;#N/B;41;2,606519917;11;3;8;ADJ;2,8;596,11;1;1053,39;0,99
aandraaien;0,45;1,73;0,00;0,00;2,27;0,18;Voelen;0,490196078;2,27;0,77;2,570902742;3,133333333;high;#N/B;#N/B;#N/B;16;1,836304419;10;3;7;WW;2,05;614,09;0,75;1163,72;0,98
aandrang;2,30;2,00;0,00;0,00;1,40;2,30;Joint;0,2875;2,3;1,33;3,273494442;1,933333333;low;#N/B;#N/B;#N/B;29;2,290606419;8;2;6;N;2,1;567,12;0,829268293;1071,23;0,98
aandrift;1,11;1,00;0,00;0,00;0,00;1,56;Sensaties;0,424242424;1,56;0,61;1,830727857;1,833333333;low;#N/B;#N/B;#N/B;0;0,895504515;8;2;7;N;2;625,50;0,75;1221,35;0,78
aandrijven;0,92;1,92;0,00;0,00;0,46;0,00;Zien;0,581395349;1,92;0,55;1,999734451;2,533333333;low;#N/B;#N/B;#N/B;4;2,471358505;10;3;7;WW;1,85;629,39;0,975;1057,29;0,99
aandrijving;1,08;2,00;0,00;0,00;0,73;0,75;Zien;0,438538206;2;0,76;2,160018877;3,333333333;high;#N/B;#N/B;#N/B;63;2,136433844;11;3;8;N;2,5;590,94;0,875;1138,76;0,99
aandringen;2,73;2,45;0,18;0,27;1,55;0,73;Horen;0,32183908;2,73;1,32;3,39629954;2,733333333;low;#N/B;#N/B;#N/B;123;2,377235543;10;3;7;WW;1,9;543,23;0,975;1051,24;0,99
aandrukken;0,46;2,00;0,00;0,00;3,31;0,00;Voelen;0,573333333;3,31;0,96;3,538013127;3,4;high;#N/B;#N/B;#N/B;10;2,087523053;10;3;7;WW;1,95;595,49;0,902439024;1133,46;0,99
aanduiden;0,09;2,73;0,00;0,00;1,82;0,09;Zien;0,576923077;2,73;0,79;2,973753286;3,666666667;high;#N/B;#N/B;#N/B;17;2,773344731;9;3;6;WW;1,85;542,39;0,975609756;1063,41;0,99
aanduiding;0,70;3,60;0,00;0,00;1,10;0,30;Zien;0,631578947;3,6;0,95;3,64322883;2,6;low;#N/B;#N/B;#N/B;11;2,811099151;10;3;7;N;2,75;558,05;1;1109,18;1
aandurven;0,73;1,45;0,00;0,00;0,00;2,18;Sensaties;0,5;2,18;0,73;2,401401636;2,133333333;low;#N/B;#N/B;#N/B;8;2,389995062;9;3;7;WW;2,25;577,93;0,975;1094,33;0,99
aaneen;0,27;2,64;0,00;0,00;1,36;0,00;Zien;0,617021277;2,64;0,71;2,753649793;2,266666667;low;#N/B;#N/B;#N/B;9;0,991529957;6;2;4;Function;1,8;678,57;0,75;1507,25;0,87
aangaan;0,67;1,08;0,00;0,00;0,83;0,92;Zien;0,30952381;1,08;0,58;1,428769814;2,066666667;low;2,4;low;van Loon;254;2,292579599;7;2;5;WW;1,75;581,65;0,951219512;1101,24;0,99
aangapen;0,00;4,18;0,00;0,00;0,18;0,82;Zien;0,807017544;4,18;0,86;4,19234616;3,8;high;#N/B;#N/B;#N/B;7;1,372269772;8;3;6;WW;1,9;647,69;0,7;1233,69;0,92
aangebonden;0,58;2,83;0,17;0,00;1,58;0,25;Zien;0,523076923;2,83;0,90;2,997533123;2,714285714;low;#N/B;#N/B;#N/B;3;1,985620547;11;4;9;ADJ;2,25;537,28;0,951219512;1280,3;0,95
aangeboren;0,00;1,64;0,00;0,00;0,00;1,09;Zien;0,6;1,64;0,45;1,784217987;1,6;low;#N/B;#N/B;#N/B;92;2,787223741;10;4;8;ADJ;1,95;540,72;0,975609756;1046,63;1
aangedaan;1,08;1,75;0,00;0,00;0,50;3,17;Sensaties;0,487179487;3,17;1,08;3,376961213;2,066666667;low;#N/B;#N/B;#N/B;1556;2,45347245;9;3;7;ADJ;2,35;538,04;0,975609756;1055,29;0,99
aangeklaagde;1,45;2,55;0,00;0,00;0,18;0,64;Zien;0,528301887;2,55;0,80;2,706885008;2,133333333;low;#N/B;#N/B;#N/B;32;2,563330086;12;4;10;N;2,6;615,23;0,975;1142,87;0,99
aangelegenheid;0,50;1,20;0,00;0,00;0,20;0,30;Zien;0,545454545;1,2;0,37;1,235949321;2;low;2,8;low;van Loon;73;2,250714848;14;5;11;N;3,15;654,91;1;1206,37;0,99
aangenaam;1,90;2,10;1,70;1,20;1,70;2,20;Sensaties;0,092592593;2,2;1,80;3,371444816;1,733333333;low;5;high;de Deyne et al. 2019;2530;3,024777005;9;3;7;ADJ;2,7;516,58;1;1017,73;1
aangeschoten;3,50;4,10;1,30;0,20;0,70;1,90;Zien;0,333333333;4,1;1,95;4,948851892;2,866666667;low;#N/B;#N/B;#N/B;72;2,810794227;12;4;9;ADJ;2,65;564,12;0,975609756;1156,86;1
aangeslagen;1,77;2,85;0,00;0,00;0,46;3,31;Sensaties;0,394495413;3,31;1,40;4,018265352;2,333333333;low;#N/B;#N/B;#N/B;58;2,779481079;11;4;9;ADJ;2,15;575,67;0,975609756;1065,59;1
aangetrouwd;0,90;0,90;0,00;0,00;0,00;0,40;Joint;0,409090909;0,9;0,37;1,150283484;2,466666667;low;#N/B;#N/B;#N/B;9;2,482924768;11;3;9;ADJ;2,6;583,99;0,975;1119,97;0,99
aangeven;1,75;2,50;0,00;0,00;0,33;0,17;Zien;0,526315789;2,5;0,79;2,760064134;2,6;low;#N/B;#N/B;#N/B;656;3,154087436;8;3;6;WW;1,75;500,62;0,975609756;1026,22;1
aangever;1,10;1,40;0,00;0,00;0,60;0,20;Zien;0,424242424;1,4;0,55;1,626007265;2,538461538;low;#N/B;#N/B;#N/B;21;2,115671742;8;3;7;N;1,85;521,61;0,951219512;1058,08;0,98
aangewezen;0,92;1,50;0,00;0,00;0,25;0,33;Zien;0,5;1,5;0,50;1,613161831;1,8;low;#N/B;#N/B;#N/B;245;2,600354015;10;4;8;ADJ;2;555,41;0,975609756;1056,73;0,99
aangezicht;0,38;3,62;0,15;0,00;2,54;0,77;Zien;0,484536082;3,62;1,24;4,002700725;4,2;high;#N/B;#N/B;#N/B;125;2,332899076;10;3;8;N;2,1;518,81;1;1057,4;0,99
aangifte;1,80;2,20;0,00;0,00;0,60;0,50;Zien;0,431372549;2,2;0,85;2,562225035;2,666666667;low;#N/B;#N/B;#N/B;201;2,66115429;8;3;7;N;2,35;565,86;0,975;997,33;0,99
aangrenzend;0,18;2,45;0,00;0,00;0,55;0,00;Zien;0,771428571;2,45;0,53;2,463821574;3;high;#N/B;#N/B;#N/B;8;2,485382789;11;3;10;ADJ;2,75;608,07;0,975609756;1055,05;1
aangrijpen;1,20;1,50;0,00;0,00;2,00;1,30;Voelen;0,333333333;2;1,00;2,482545081;2,533333333;low;#N/B;#N/B;#N/B;48;2,174664242;10;3;7;WW;1,9;554,35;0,975609756;1090,3;0,99
aangrijpend;1,25;1,75;0,00;0,00;0,75;3,17;Sensaties;0,457831325;3,17;1,15;3,405326272;2,266666667;low;4,95;high;de Deyne et al. 2019;29;3,16481012;11;3;9;ADJ;1,95;526,13;0,975609756;1002,71;0,99
aangroei;0,18;2,73;0,00;0,00;0,36;0,55;Zien;0,714285714;2,73;0,64;2,736935422;2,533333333;low;#N/B;#N/B;#N/B;0;2,83402864;8;2;6;N;1,8;618,55;0,975;1130,08;0,98
aangroeien;0,27;3,00;0,00;0,00;0,91;0,18;Zien;0,6875;3;0,73;3,028528254;3;high;#N/B;#N/B;#N/B;11;2,558829942;10;3;7;WW;1,75;500,23;0,926829268;1062,55;0,99
aanhalen;2,10;0,90;0,00;0,00;0,60;0,30;Horen;0,538461538;2,1;0,65;2,171039165;2,2;low;#N/B;#N/B;#N/B;37;3,219096625;8;3;6;WW;1,9;500,17;1;997,34;1
aanhalig;1,11;1,56;0,00;0,00;1,11;2,00;Sensaties;0,346153846;2;0,96;2,438922337;1,846153846;low;#N/B;#N/B;#N/B;4;1,179792078;8;3;7;ADJ;2,25;594,63;0,756097561;1219,28;0,91
aanhalingsteken;0,90;4,00;0,00;0,00;0,00;0,40;Zien;0,754716981;4;0,88;4,016453065;3,733333333;high;#N/B;#N/B;#N/B;0;2,294216189;15;5;12;N;4,4;646,15;0,951219512;1373,29;0,99
aanhang;2,00;2,36;0,00;0,00;0,00;0,18;Zien;0,52;2,36;0,76;2,768138804;2,066666667;low;4,13;high;van Loon;34;2,360501983;7;2;5;N;1,8;523,21;0,926829268;1016,64;0,99
aanhangen;0,20;1,50;0,00;0,00;0,60;0,70;Zien;0,5;1,5;0,50;1,579691228;2,8;low;#N/B;#N/B;#N/B;6;2,463389576;9;3;6;WW;1,75;548,35;0,975609756;1033,76;0,99
aanhanger;1,00;1,77;0,08;0,08;0,69;0,23;Zien;0,44;1,77;0,64;1,902215541;2,571428571;low;#N/B;#N/B;#N/B;67;2,645645482;9;3;7;N;2,05;510,80;1;1002,35;0,99
aanhangsel;1,00;3,08;0,25;0,00;1,08;0,25;Zien;0,544117647;3,08;0,94;3,162043114;2,666666667;low;#N/B;#N/B;#N/B;16;2,495049134;10;3;8;N;2,7;525,87;0,951219512;1082,82;0,99
aanhangwagen;0,64;3,91;0,00;0,00;1,09;0,09;Zien;0,682539683;3,91;0,95;3,94275787;4,666666667;high;#N/B;#N/B;#N/B;15;2,58859006;12;4;9;N;3,7;577,29;0,902439024;1118,21;0,99
aanhankelijk;1,09;2,45;0,00;0,00;1,91;2,00;Zien;0,329268293;2,45;1,24;3,142877249;2,266666667;low;#N/B;#N/B;#N/B;24;2,392758997;12;4;10;ADJ;2,9;515,40;1;1167,51;1
aanhebben;0,00;3,18;0,00;0,00;2,45;0,00;Zien;0,564516129;3,18;0,94;3,60884531;3;high;4,6;high;van Loon;13;1,180536789;9;3;6;WW;2,75;536,59;0,804878049;1274,71;0,86
aanhef;1,50;1,92;0,33;0,00;0,25;0,42;Zien;0,433962264;1,92;0,74;2,19261213;2,6;low;#N/B;#N/B;#N/B;3;2,12384677;6;2;5;N;1,8;533,50;0,975609756;963,39;0,99
aanheffen;1,18;2,00;0,00;0,00;0,45;0,45;Zien;0,488888889;2;0,68;2,142771275;2,133333333;low;#N/B;#N/B;#N/B;0;1,908737537;9;3;6;WW;2,3;585,80;0,975;1113,48;0,97
aanhoren;3,09;0,55;0,00;0,00;0,27;0,55;Horen;0,693877551;3,09;0,74;3,10289464;2,8;low;#N/B;#N/B;#N/B;214;2,363972415;8;3;6;WW;1,85;546,98;0,95;1030,5;1
aanhorig;2,10;1,20;0,00;0,00;0,20;0,50;Horen;0,525;2,1;0,67;2,232171867;1,846153846;low;#N/B;#N/B;#N/B;0;1,340788958;8;3;7;ADJ;2,65;686,73;0,725;1325,54;0,78
aanhouden;1,58;1,67;0,08;0,00;1,42;0,83;Zien;0,298507463;1,67;0,93;2,29078938;2,533333333;low;#N/B;#N/B;#N/B;304;2,436797664;9;3;6;WW;1,85;487,87;0,975609756;973,99;1
aanhoudend;1,20;1,90;0,50;0,50;0,90;1,00;Zien;0,233333333;1,9;1,00;2,194338058;1,866666667;low;#N/B;#N/B;#N/B;9;3,161965338;10;3;8;ADJ;1,9;546,59;1;1067,37;1
aanhouder;1,25;2,08;0,00;0,00;0,33;0,83;Zien;0,462962963;2,08;0,75;2,264424927;2,533333333;low;#N/B;#N/B;#N/B;9;2,899786281;9;3;7;N;1,95;563,99;0,95;1014,24;1
aanhouding;2,18;3,27;0,00;0,00;1,27;0,27;Zien;0,467532468;3,27;1,17;3,622122329;3;high;#N/B;#N/B;#N/B;59;2,59279831;10;3;7;N;2,5;511,67;0,975609756;1002,14;0,99
aanjagen;1,22;1,44;0,00;0,00;1,00;0,78;Zien;0,325;1,44;0,74;1,847892776;2,142857143;low;#N/B;#N/B;#N/B;55;1,431796803;8;3;6;WW;1,8;607,88;0,902439024;1076,52;0,96
aankaarten;1,69;0,85;0,00;0,00;0,00;0,46;Horen;0,564102564;1,69;0,50;1,77058691;2,133333333;low;#N/B;#N/B;#N/B;13;2,17243087;10;3;7;WW;1,85;590,27;0,875;1108,45;0,98
aankijken;0,00;4,83;0,00;0,00;0,00;0,83;Zien;0,852941176;4,83;0,94;4,841576632;3,333333333;high;6,07;high;van Loon;294;2,849106704;9;3;6;WW;1,85;506,82;0,975609756;990,98;1
aanklacht;3,30;1,90;0,00;0,00;0,00;0,50;Horen;0,578947368;3,3;0,95;3,501251253;2,266666667;low;3,06;low;van Loon;969;2,731708324;9;2;7;N;2,25;559,00;0,975609756;1027,99;1
aanklagen;2,77;1,23;0,08;0,08;0,15;0,85;Horen;0,52238806;2,77;0,86;2,872873063;2,266666667;low;#N/B;#N/B;#N/B;363;2,925630187;9;3;7;WW;1,8;521,58;1;1037,67;1
aanklager;2,91;2,00;0,00;0,00;0,09;0,00;Horen;0,581818182;2,91;0,83;3,195169623;2,733333333;low;#N/B;#N/B;#N/B;671;3,213280845;9;3;8;N;2,5;523,11;0,951219512;999,42;1
aanklampen;1,15;2,62;0,15;0,15;2,00;0,62;Zien;0,367816092;2,62;1,12;3,024479822;3,466666667;high;#N/B;#N/B;#N/B;3;2,48826206;10;3;8;WW;1,9;605,63;0,875;1154,83;0,97
aankleden;0,17;3,33;0,08;0,00;2,75;0,00;Zien;0,526315789;3,33;1,06;3,867294331;3,533333333;high;6,4;high;van Loon;408;2,796958984;9;3;7;WW;1,85;509,63;1;1017,04;0,99
aanklikken;2,50;3,70;0,00;0,00;2,80;0,00;Zien;0,411111111;3,7;1,50;4,451831927;4;high;#N/B;#N/B;#N/B;1;2,488480489;10;3;7;WW;1,9;577,70;1;1093,55;0,99
aankloppen;4,08;2,92;0,00;0,00;3,42;0,00;Horen;0,392;4,08;1,74;5,101661272;3,733333333;high;#N/B;#N/B;#N/B;88;2,410671305;10;3;7;WW;1,9;519,25;0,975;1006,57;0,99
aanknopen;0,67;1,92;0,00;0,00;0,58;0,08;Zien;0,58974359;1,92;0,54;1,960600463;2,6;low;#N/B;#N/B;#N/B;7;2,379197234;9;3;7;WW;1,9;541,22;0,975;1158,37;1
aankoeken;0,25;4,38;0,63;0,63;0,38;0,00;Zien;0,7;4,38;1,04;4,384672477;3,266666667;high;#N/B;#N/B;#N/B;0;1,382321644;9;3;6;WW;1,65;653,06;0,902439024;1325,85;0,92
aankomen;1,08;3,42;0,00;0,00;0,58;0,33;Zien;0,630769231;3,42;0,90;3,459165781;2,733333333;low;4,8;high;van Loon;1320;2,407532496;8;3;6;WW;1,9;494,98;1;968,47;1
aankomend;2,33;2,50;0,25;0,00;0,00;0,67;Zien;0,434782609;2,5;0,96;3,059573075;2;low;#N/B;#N/B;#N/B;13;2,341382983;9;3;8;ADJ;1,85;552,18;0,95;1069,03;1
aankomst;0,91;3,27;0,00;0,00;0,09;0,09;Zien;0,75;3,27;0,73;3,295990256;3,066666667;high;4,53;high;van Loon;324;3,166309581;8;2;7;N;2,1;510,80;0,975;979,57;1
aankondigen;4,00;1,40;0,00;0,00;0,30;0,30;Horen;0,666666667;4;1,00;4,057462237;3;high;#N/B;#N/B;#N/B;138;3,193949004;11;4;9;WW;2,2;519,64;0,975;1085,64;1
aankondiging;3,50;2,80;0,00;0,00;0,00;0,00;Horen;0,555555556;3,5;1,05;4,017155484;2,2;low;#N/B;#N/B;#N/B;135;2,978720096;12;4;10;N;3,05;529,77;0,951219512;1149,95;1
aankoop;1,00;3,17;0,17;0,17;1,17;1,08;Zien;0,444444444;3,17;1,13;3,290368731;3;high;3,53;low;van Loon;113;3,18466055;7;2;5;N;1,7;520,89;1;998,03;1
aankopen;0,50;2,83;0,00;0,00;0,67;0,25;Zien;0,666666667;2,83;0,71;2,851360453;2,733333333;low;#N/B;#N/B;#N/B;44;2,657136354;8;3;6;WW;1,75;564,17;0,95;1034,69;1
aankruisen;0,08;3,83;0,00;0,00;2,17;0,17;Zien;0,613333333;3,83;1,04;4,051525277;3,933333333;high;#N/B;#N/B;#N/B;2;2,642200486;10;3;7;WW;1,65;551,90;0,926829268;1099,12;0,99
aankunnen;0,82;0,91;0,00;0,00;0,00;1,27;Sensaties;0,424242424;1,27;0,50;1,497868247;2,133333333;low;#N/B;#N/B;#N/B;196;2,196372961;9;3;6;WW;2,4;541,69;1;1097,87;0,98
aanleg;1,00;2,27;0,00;0,00;0,45;0,27;Zien;0,568181818;2,27;0,67;2,342468334;1,8;low;2,53;low;van Loon;126;2,899054971;6;2;5;N;1,75;538,19;0,951219512;939,3;1
aanleggen;1,70;3,90;0,20;0,00;2,40;0,00;Zien;0,475609756;3,9;1,37;4,273826953;2,866666667;low;#N/B;#N/B;#N/B;145;2,477475339;9;3;6;WW;1,7;514,38;0,975;1010,19;1
aanleiding;1,50;1,60;0,00;0,00;0,50;0,30;Zien;0,41025641;1,6;0,65;1,968076489;1,866666667;low;2,63;low;van Loon;146;3,113671229;10;3;7;N;2,2;507,07;1;970,56;1
aanlengen;0,27;1,73;0,18;1,00;0,82;0,09;Zien;0,4;1,73;0,68;1,887828384;2,733333333;low;#N/B;#N/B;#N/B;5;1,775299918;9;3;6;WW;1,75;570,65;0,951219512;1182,47;0,95
aanleren;2,45;2,64;0,18;0,18;1,64;0,73;Zien;0,313953488;2,64;1,30;3,358737362;2,333333333;low;#N/B;#N/B;#N/B;29;2,846243409;8;3;6;WW;1,85;545,30;0,975;976,11;1
aanleunen;0,00;1,92;0,00;0,00;3,54;0,00;Voelen;0,647887324;3,54;0,91;3,718486055;3,333333333;high;#N/B;#N/B;#N/B;3;2,110499091;9;3;6;WW;2;602,61;0,87804878;1099,03;0,97
aanloggen;0,83;2,00;0,00;0,00;0,83;0,00;Zien;0,545454545;2;0,61;2,092140494;2,5;low;#N/B;#N/B;#N/B;0;0,731287082;9;3;6;WW;1,9;616,08;0,7;1226,28;0,57
aanlokkelijk;1,20;1,80;0,40;0,20;0,20;1,90;Sensaties;0,298245614;1,9;0,95;2,438443422;1,733333333;low;#N/B;#N/B;#N/B;49;2,467215787;12;4;9;ADJ;3,1;559,28;1;1226,96;0,97
