Woord;Horen;Zien;Ruiken;Proeven;Voelen;Sensaties;Modality;ModalityExclusivity;MaxPercStrength;AvModalityStrength;Minkowski3;Concreteness;ConcretenessCategory;Imageability;ImageabilityCategory;SourceImageability;Frequency;Prevalence;Length;Nsyl;N_phonemes;PoS;OLD20;DLP_RT;DLP_Acc;DCP_RT;DCP_Acc
eetzaal;1,69;3,00;1,62;1,23;0,54;0,69;Zien;0,280701754;3;1,46;3,374146504;3,866666667;high;5,57;high;van Loon;104;2,923716117;7;2;5;N;2,3;508,79;1;1013,32;1
eeuw;0,08;0,67;0,00;0,00;0,00;0,58;Zien;0,5;0,67;0,22;0,791243233;2,333333333;low;3,4;low;van Loon;1100;2,695145498;4;1;2;N;1,65;487,73;0,975;949,96;1
eeuweling;1,60;2,00;0,30;0,00;0,50;0,40;Zien;0,416666667;2;0,80;2,309100679;2,466666667;low;#N/B;#N/B;#N/B;0;1,919736376;9;3;6;N;2,8;626,04;0,825;1336,98;0,85
eeuwenlang;0,60;0,40;0,00;0,00;0,00;0,30;Horen;0,461538462;0,6;0,22;0,674599671;1,466666667;low;#N/B;#N/B;#N/B;95;2,496239317;10;3;6;ADJ;3,6;553,78;0,95;1109,32;0,99
eeuwenoud;0,23;2,46;0,23;0,00;0,62;0,08;Zien;0,680851064;2,46;0,60;2,475655066;1,666666667;low;#N/B;#N/B;#N/B;24;2,240389187;9;3;5;ADJ;3,65;562,35;0,87804878;1202,91;0,98
eeuwig;0,80;1,10;0,00;0,00;0,30;1,30;Sensaties;0,371428571;1,3;0,58;1,596215012;1,666666667;low;2,6;low;de Deyne et al. 2019;1919;2,781051084;6;2;4;ADJ;2,05;501,21;1;981,98;1
eeuwigdurend;0,70;0,40;0,00;0,00;0,00;1,50;Sensaties;0,576923077;1,5;0,43;1,558022917;1,6;low;#N/B;#N/B;#N/B;20;2,489933662;12;4;10;ADJ;4,6;584,44;0,95;1212,79;0,99
eeuwigheid;0,38;0,85;0,00;0,00;0,00;0,46;Zien;0,5;0,85;0,28;0,912995714;1,333333333;low;#N/B;#N/B;#N/B;447;2,678958394;10;3;7;N;2,55;534,61;0,975609756;1048,25;1
effect;1,83;3,00;0,50;0,42;1,25;0,83;Zien;0,329787234;3;1,31;3,29859762;2,066666667;low;3,07;low;van Loon;704;2,458935111;6;2;5;N;2,4;477,70;0,951219512;955,32;1
effectbal;0,11;3,67;0,00;0,00;0,78;0,33;Zien;0,75;3,67;0,81;3,679241254;3,461538462;high;#N/B;#N/B;#N/B;27;1,876686021;9;3;8;N;3,6;604,41;0,804878049;1315,57;0,96
